data;temperatura;flag_t;umr;flag_umr;precipitazione;flag_prec;vvento;flag_vv;dvento;flag_dv;radsolare;flag_rad;pressione;flag_pres;
2022-01-01 00:00:00;10.24;1;73.74;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-01 01:00:00;10.16;1;77.98;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-01 02:00:00;10.66;1;82.97;1;0.00;1;NaN;6;NaN;6;0.00;5;NaN;6;
2022-01-01 03:00:00;9.52;1;91.94;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-01 04:00:00;8.54;1;94.72;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-01 05:00:00;8.78;1;95.84;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-01 06:00:00;8.87;1;95.71;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-01 07:00:00;8.91;1;94.21;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-01 08:00:00;8.83;1;91.63;1;0.00;1;NaN;6;NaN;6;0.00;5;NaN;6;
2022-01-01 09:00:00;8.33;1;87.46;1;0.00;1;NaN;6;NaN;6;36.38;1;NaN;6;
2022-01-01 10:00:00;9.51;1;86.66;1;0.00;1;NaN;6;NaN;6;54.80;1;NaN;6;
2022-01-01 11:00:00;10.83;1;87.80;1;0.00;1;NaN;6;NaN;6;97.46;1;NaN;6;
2022-01-01 12:00:00;11.11;1;89.08;1;0.00;1;NaN;6;NaN;6;158.89;1;NaN;6;
2022-01-01 13:00:00;12.29;1;85.16;1;0.00;1;NaN;6;NaN;6;143.14;1;NaN;6;
2022-01-01 14:00:00;12.03;1;83.03;1;0.00;1;NaN;6;NaN;6;43.14;1;NaN;6;
2022-01-01 15:00:00;12.80;1;79.48;1;0.00;1;NaN;6;NaN;6;34.47;1;NaN;6;
2022-01-01 16:00:00;13.41;1;77.30;1;0.00;1;NaN;6;NaN;6;22.86;1;NaN;6;
2022-01-01 17:00:00;12.93;1;79.03;1;0.00;1;NaN;6;NaN;6;6.61;1;NaN;6;
2022-01-01 18:00:00;12.56;1;81.77;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-01 19:00:00;12.39;1;76.40;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-01 20:00:00;12.12;1;71.28;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-01 21:00:00;11.67;1;70.55;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-01 22:00:00;10.65;1;73.62;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-01 23:00:00;10.01;1;77.22;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-02 00:00:00;10.08;1;77.53;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-02 01:00:00;9.14;1;77.66;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-02 02:00:00;9.34;1;79.74;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-02 03:00:00;9.76;1;84.42;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-02 04:00:00;9.66;1;86.09;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-02 05:00:00;9.31;1;84.95;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-02 06:00:00;8.51;1;83.63;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-02 07:00:00;8.04;1;82.50;1;0.00;1;NaN;6;NaN;6;0.00;1;NaN;6;
2022-01-02 08:00:00;8.99;1;75.65;1;0.00;1;NaN;6;NaN;6;0.00;5;NaN;6;
